stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,23.2,21.1,42.1,47.3,63.4,68.6,74,73.1,66.3,54.2,38.9,32.7,3.6,1.7,8.95,2.28,3.09,2.77,1.86,3.65,1.2,4.08,2.54,3.07,actual,1936,1936,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,34.2,30.9,34.5,47.9,61.2,69.9,72.6,74,61.7,50.3,41.2,29.3,4.17,3.35,1.32,5.03,4.02,2.63,3.77,7.4,1.27,6.42,4.82,1.97,actual,1937,1937,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.7,31.9,42.6,51.7,59.4,67.7,73.6,74.8,61.4,54.2,42,32,2.39,2.85,2.47,3.06,2.9,2.53,1.64,4.81,3.35,1.43,3.04,3.03,actual,1938,1938,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.7,32.1,38,47.5,62.7,69.6,72.1,73.1,63.7,51.6,38.2,33.4,2.79,3.28,3.98,2.7,2.23,2.1,4.81,2.48,2.76,4.42,0.97,1.62,actual,1939,1939,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.3,29,31,44.6,60.5,67.2,72,67.8,61.1,48.4,41.1,33.9,2.17,4.01,5.79,4.26,5.23,3.32,3.54,3.67,2.85,2.45,3.81,2.67,actual,1940,1940,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.5,25.9,31.5,52.5,61.9,70.4,73.7,68.5,64.5,56.6,43.9,35.2,2.63,0.29,2.25,3.05,0.97,4.76,3.51,5.93,1.54,1.5,4.48,4.02,actual,1941,1941,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.9,27.7,41,55.5,64.4,70,73.7,71.4,65.5,55.3,42.2,28.5,1.25,2.79,3.2,1.79,4.56,1.1,5.09,2.46,4.33,3.84,3,4.64,actual,1942,1942,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.5,31.3,39.1,44.1,62.7,74.6,74,72,62.8,51.7,39.2,28.9,1.98,1.43,2.86,4.56,5.09,3.08,3.6,3.7,0.16,8.29,3.15,0.86,actual,1943,1943,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,30.5,30.9,35.5,46.8,67.4,70.6,73.3,73.4,64.9,50.7,42.5,28.6,1.53,1.42,4.12,3.43,5.56,6.23,1.52,2.35,4.83,3.21,1.8,4.23,actual,1944,1944,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,18.3,27.5,47.4,52.3,56,67.2,71.9,69.4,65.3,50.5,41,24.7,1.91,2.25,4.03,3.44,6.01,3.07,3.31,2.93,6.35,3.79,6.14,2.61,actual,1945,1945,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.2,28.1,45.8,48,58.4,65.9,72.1,66.8,64.8,56.2,43.9,31.7,1.25,2.18,4.57,0.99,9.45,4.71,4.16,3.11,5.32,4.53,0.89,1.89,actual,1946,1946,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,32.2,24.9,33.5,48.1,58.3,66.3,70.4,73.9,64.4,58.2,38.1,29.1,2.99,0.67,2.22,3.99,6.23,2.67,7.79,4.12,2.38,1.39,3.34,1.17,actual,1947,1947,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,19.2,24.6,38.3,50.1,58.7,67.2,72.2,70.6,63.9,49.8,45.5,31.1,2.82,2.09,3.24,5.7,3.91,3.52,4.13,2.28,1.23,4.4,6.49,5.07,actual,1948,1948,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,33.2,32.6,39,49.1,60.5,72.6,77.3,72.9,60.3,56.9,40,31.9,3.32,2.63,1.29,4.22,4.64,2.88,3.79,5.18,4.62,2.27,1.9,3.36,actual,1949,1949,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,36.3,29.2,32.4,44.9,59.7,66.8,70.5,69.8,60.6,54.5,40.9,26.5,3.26,3.88,5.52,1.79,2.44,2.44,4.79,6.64,1.84,1.4,5.49,3.55,actual,1950,1950,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.6,30.2,38.1,49.3,61,67.9,73.4,71.1,63.4,54.3,35.4,30,3.71,2.56,3.91,2.25,2.01,3.59,1.55,0.96,1.88,1.77,5.24,4.65,actual,1951,1951,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.9,32.3,37,51.4,57.6,71.7,76.2,71.2,64.1,48.1,41.9,33.7,3.28,2.81,4.39,5.48,5.46,0.9,5.75,4.36,1.98,1.49,5.75,4.27,actual,1952,1952,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,33.6,33.6,39.9,47.8,62.4,70.7,73.9,70.7,64.5,54.3,42.1,34.6,3.78,1.68,3.98,3.26,5.82,1.66,2.63,2.22,1.77,1.65,2.41,3.2,actual,1953,1953,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,25.9,36.1,37.8,52.6,58.2,70.5,72,69.8,64.9,55.8,40.6,31.1,2.3,3.57,4.15,3.25,4.61,1.96,2.78,3.72,1.59,2.29,3.03,3.87,actual,1954,1954,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
